"Edge","State","Street Address","City","Province","Postal Code","Longitude","Latitude"
"100533","CONNECTED","15425 Bannister Rd SE
Midlake Plaza  unit 30","Calgary","AB","T2X 1Z3","-114.066963","50.914875"
"103244","CONNECTED","2953, 3055 26th AVE NORTH","LETHBRIDGE","AB","T1H 5P4","-112.796158","49.729507"
"102677","CONNECTED","465 Main St","Lewisporte","NL","A0G 3A0","-55.053001","49.215"
"101611","CONNECTED","470 Main St","Hampton","NB","E5N 6C1","-65.832718","45.519405"
"TDL-HQ-LAB-520","CONNECTED","130 King St W","Toronto","ON","M5X 2A2","-79.383003","43.648998"
"102860","CONNECTED","8 Trans Canada Hwy","Bishop`s Falls","NL","A0H 1C0","-55.449001","49.023998"
"103736","CONNECTED","1495 Regent Ave","Winnipeg","MB","R2C 3B2","-97.051384","49.895653"
"100734","CONNECTED","4 - 2054 Whatcom Rd","Abbotsford","BC","V3G 2K8","-122.220345","49.040657"
"103634","CONNECTED","3025 Lougheed Highway
Unit 650 Sunwood Square","Coquitlam","BC","V3B 6S2","-122.791985","49.276142"
"101580","CONNECTED","11845 Tecumseh Rd E","Tecumseh","ON","N8N 1L8","-82.896423","42.311478"
"101202","CONNECTED","5775 Malden Rd","Lasalle","ON","N9H 1R9","-83.061256","42.250168"
"101405","CONNECTED","500 Trethewey Dr","North York","ON","M6M 4C2","-79.487999","43.695999"
"102089","CONNECTED","Pender Place II  104 - 750 Pender St W","Vancouver","BC","V6C 2T7","-123.115883","49.284908"
"102759","CONNECTED","1150 Steeles Ave.","Brampton","ON","L6T 1A1","-79.708061","43.689743"
"101499","CONNECTED","940 Hamilton Rd","London","ON","N5Z 1W4","-81.195236","42.978043"
"101917","CONNECTED","4924 46 St","Lacombe","AB","T4L 2B4","-113.728386","52.462486"
"102192","CONNECTED","3316 Lakeshore Blvd W","Etobicoke","ON","M8W 1M8","-79.524948","43.596745"
"101462","CONNECTED","4550 Johnston Rd","Port Alberni","BC","V9Y 8J2","-124.806297","49.259895"
"100551","CONNECTED","1067 Ontario Street","Stratford","ON","N5A 6W6","-80.948715","43.370918"
"104280","CONNECTED","152 North Queen St","Etobicoke","ON","M9C1A8","-79.554504","43.620316"
"102658","CONNECTED","200 Sherway Dr","Etobicoke","ON","M9C 5N6","-79.560013","43.609116"
"104153","CONNECTED","2687 Kipling Ave","Etobicoke","ON","M9V 5G6","-79.584663","43.750839"
"100553","CONNECTED","15A Cromer Ave","Grand Falls-Windsor","NL","A2A 1X3","-55.657001","48.943001"
"103389","CONNECTED","150 King Street West
Unit C110","Toronto","ON","M5H 1J9","-79.384476","43.648117"
"102280","CONNECTED","11312 109 St NW","Edmonton","AB","T5G 2T7","-113.50853","53.563095"
"107266","CONNECTED","660 EVANS AVENUE","Etobicoke","ON","M8W 2W6","-79.553207","43.610008"
"101959","CONNECTED","101 Montee Masson","Mascouche","QC","J7K 3B4","-73.619286","45.723301"
"100736","OFFLINE","7852 Wyandotte St E","Windsor","ON","N8S 1S9","-82.944664","42.333584"
"102074","CONNECTED","1572 Regent Ave W","Winnipeg","MB","R2C 3B4","-97.06395","49.896717"
"100142","CONNECTED","999 Upper Wentworth St Limeridge Mall
Unit #400. Can West Shopping Centre","Hamilton","ON","L9A 4X5","-79.862","43.216"
"100359","CONNECTED","2804 King St E","Hamilton","ON","L8G 1J5","-79.772514","43.220055"
"101000","CONNECTED","977 Golf Links Rd RR 1","Ancaster","ON","L9G 3K9","-79.944","43.228001"
"101080","CONNECTED","65 Ottawa St N","Hamilton","ON","L8H 3Y9","-79.819145","43.244576"
"101759","CONNECTED","1136 Golf Links Rd","Ancaster","ON","L9G 3K9","-79.936996","43.228001"
"103381","CONNECTED","1420 Crawford Drive","Peterborough","ON","K9J6X6","-78.346863","44.27055"
"100020","CONNECTED","853 The Queensway","Etobicoke","ON","M8Z 1N6","-79.509003","43.624001"
"101934","CONNECTED","157 George St N","Peterborough","ON","K9J 3G6","-78.320099","44.298309"
"100164","CONNECTED","529 Highway 8","Stoney Creek","ON","L8G 5B9","-79.712997","43.216"
"100119","CONNECTED","158 Main St W","Saint John","NB","E2M 3N6","-66.093887","45.255932"
"102154","CONNECTED","53 Dalhousie St","Brantford","ON","M3T 3C2","-80.265976","43.139084"
"101733","CONNECTED","3445 Hurontario St","Mississauga","ON","L5A 2H4","-79.62822","43.588547"
"102418","CONNECTED","5539 Harvester Rd","Burlington","ON","L7L 7G4","-79.75322","43.392036"
"104966","CONNECTED","1845 Boul St. Martin Ouest","Laval","QC","H7S 1N2","-73.7314","45.566498"
"104925","CONNECTED","10810 - 50th Street, SE","Calgary","AB","T2C 3E6","-113.961594","50.954243"
"103125","CONNECTED","8970 Goreway Dr","Brampton","ON","L6T 0A8","-79.683311","43.75206"
"105208","CONNECTED","4305 Redford Street","Port Alberni","BC","V9Y 3R2","-124.798401","49.24548"
"102744","CONNECTED","6525 Oak St","Vancouver","BC","V6P 3Z3","-123.12896","49.226261"
"105598","CONNECTED","505 Burrard Street
Unit 107","Vancouver","BC","V6C 3A8","-123.118309","49.286739"
"100133","CONNECTED","489 boul. Des Laurentides","Laval","QC","H7G 2V2","-73.69117","45.569866"
"100385","CONNECTED","675 Main St N RR2","Brampton","ON","L6V 1A1","-79.786301","43.704887"
"101124","CONNECTED","226 West St","Brantford","ON","N3R 3V2","-80.262642","43.149521"
"101475","CONNECTED","2427 Cawtra Rd","Mississauga","ON","L5A 2W7","-79.595161","43.591755"
"103018","CONNECTED","7970 Mavis Road","Brampton","ON","L6Y 5L5","-79.754524","43.646145"
"104188","CONNECTED","150 Lakeshore Rd E","Mississauga","ON","L5G 1E9","-79.58165","43.556145"
"100541","CONNECTED","3500 Dundas St E Unit 6
UNIT 4","Burlington","ON","L7R 3X4","-79.825249","43.390785"
"100634","CONNECTED","7995 Dixie Rd","Brampton","ON","L6T 4P2","-79.700996","43.695"
"101769","CONNECTED","5250 Dundas St W","Etobicoke","ON","M9B 1A9","-79.53804","43.638477"
"102821","CONNECTED","2520 52 St  N.E.","Calgary","AB","T1Y 3R5","-113.956787","51.075035"
"103370","CONNECTED","650 Boulverad des Laurentides","Laval","QC","H7G 2V9","-73.694687","45.572636"
"104769","CONNECTED","601 Brant Street","Burlington","ON","L7R 2G6","-79.803368","43.329784"
"105338","CONNECTED","6428 Bowness Rd NW","Calgary","AB","T3B 0E7","-114.181168","51.086617"
"106376","CONNECTED","261 Queen Street, E.","Brampton","ON","L6V 1C2","-79.742554","43.701225"
